Frequency (Hz)	Level (dB)
10.766602	-66.224075
21.533203	-63.924923
32.299805	-63.617805
43.066406	-62.768265
53.833008	-61.791920
64.599609	-62.608639
75.366211	-63.458035
86.132812	-65.364098
96.899414	-64.837349
107.666016	-64.899223
118.432617	-64.411293
129.199219	-65.097366
139.965820	-65.468262
150.732422	-65.967087
161.499023	-66.406311
172.265625	-66.113686
183.032227	-65.777855
193.798828	-65.127274
204.565430	-63.783981
215.332031	-62.543240
226.098633	-60.993874
236.865234	-59.435211
247.631836	-57.933636
258.398438	-57.257492
269.165039	-57.693760
279.931641	-59.035381
290.698242	-60.767982
301.464844	-62.574394
312.231445	-63.881401
322.998047	-65.300545
333.764648	-66.491470
344.531250	-67.303169
355.297852	-67.696365
366.064453	-68.389832
376.831055	-68.575493
387.597656	-68.325226
398.364258	-67.682648
409.130859	-67.185242
419.897461	-66.914932
430.664062	-66.185287
441.430664	-65.510437
452.197266	-64.748039
462.963867	-63.400658
473.730469	-61.955341
484.497070	-60.063583
495.263672	-58.069714
506.030273	-56.367168
516.796875	-56.048180
527.563477	-57.263454
538.330078	-59.593979
549.096680	-61.586159
559.863281	-63.103508
570.629883	-64.474266
581.396484	-65.465675
592.163086	-66.279625
602.929688	-66.992279
613.696289	-67.485283
624.462891	-67.683189
635.229492	-67.876778
645.996094	-67.869247
656.762695	-68.241928
667.529297	-67.682854
678.295898	-66.936028
689.062500	-66.232063
699.829102	-65.141640
710.595703	-63.867168
721.362305	-62.088398
732.128906	-60.237942
742.895508	-57.923721
753.662109	-55.179111
764.428711	-53.882702
775.195312	-55.143745
785.961914	-57.961571
796.728516	-60.520267
807.495117	-62.648697
818.261719	-64.186958
829.028320	-65.742844
839.794922	-66.359039
850.561523	-66.668457
861.328125	-67.076225
872.094727	-67.439903
882.861328	-67.810150
893.627930	-67.893867
904.394531	-67.841438
915.161133	-67.417213
925.927734	-67.286919
936.694336	-66.392776
947.460938	-65.509888
958.227539	-64.158417
968.994141	-62.503296
979.760742	-60.511246
990.527344	-57.927250
1001.293945	-54.996773
1012.060547	-52.765949
1022.827148	-52.851128
1033.593750	-55.327988
1044.360352	-58.461685
1055.126953	-60.903160
1065.893555	-62.487354
1076.660156	-63.483059
1087.426758	-64.635788
1098.193359	-65.351921
1108.959961	-65.997284
1119.726562	-66.470909
1130.493164	-66.514801
1141.259766	-66.393394
1152.026367	-66.484863
1162.792969	-66.254990
1173.559570	-65.860909
1184.326172	-65.612206
1195.092773	-64.331802
1205.859375	-63.125641
1216.625977	-61.850513
1227.392578	-60.531612
1238.159180	-58.043152
1248.925781	-54.937969
1259.692383	-51.839870
1270.458984	-51.295170
1281.225586	-53.195412
1291.992188	-56.217365
1302.758789	-59.129818
1313.525391	-60.792519
1324.291992	-62.073986
1335.058594	-63.074688
1345.825195	-64.312073
1356.591797	-65.177101
1367.358398	-65.412956
1378.125000	-65.744102
1388.891602	-65.523834
1399.658203	-65.299690
1410.424805	-65.211525
1421.191406	-64.932274
1431.958008	-64.281929
1442.724609	-63.836689
1453.491211	-62.895901
1464.257812	-61.656963
1475.024414	-59.753613
1485.791016	-57.467236
1496.557617	-54.568851
1507.324219	-51.279758
1518.090820	-49.565899
1528.857422	-50.230881
1539.624023	-52.957352
1550.390625	-55.728062
1561.157227	-58.051437
1571.923828	-60.188488
1582.690430	-61.391335
1593.457031	-62.366608
1604.223633	-62.963924
1614.990234	-63.680164
1625.756836	-64.119919
1636.523438	-63.696949
1647.290039	-63.618027
1658.056641	-63.909542
1668.823242	-63.671150
1679.589844	-63.238136
1690.356445	-62.438889
1701.123047	-61.553623
1711.889648	-60.179787
1722.656250	-58.831390
1733.422852	-56.971027
1744.189453	-54.379601
1754.956055	-51.278065
1765.722656	-48.571384
1776.489258	-48.037891
1787.255859	-50.579884
1798.022461	-53.799934
1808.789062	-56.373528
1819.555664	-58.300858
1830.322266	-59.507515
1841.088867	-60.584019
1851.855469	-61.590633
1862.622070	-62.099640
1873.388672	-62.401558
1884.155273	-62.593342
1894.921875	-62.680309
1905.688477	-62.349091
1916.455078	-62.171535
1927.221680	-62.014523
1937.988281	-61.515163
1948.754883	-60.454357
1959.521484	-59.331604
1970.288086	-58.083931
1981.054688	-56.474892
1991.821289	-54.293442
2002.587891	-51.525795
2013.354492	-48.115498
2024.121094	-46.422077
2034.887695	-48.036663
2045.654297	-50.986885
2056.420898	-53.605717
2067.187500	-55.633877
2077.954102	-57.302975
2088.720703	-58.790207
2099.487305	-59.655396
2110.253906	-60.026913
2121.020508	-60.794838
2131.787109	-60.993172
2142.553711	-61.268597
2153.320312	-61.239662
2164.086914	-60.932911
2174.853516	-60.773495
2185.620117	-60.176105
2196.386719	-59.387909
2207.153320	-58.491989
2217.919922	-57.356945
2228.686523	-55.936138
2239.453125	-54.012295
