Frequency (Hz)	Level (dB)
10.766602	-76.529724
21.533203	-73.315964
32.299805	-70.485703
43.066406	-67.931519
53.833008	-66.557785
64.599609	-66.520187
75.366211	-66.181740
86.132812	-65.615738
96.899414	-64.291748
107.666016	-61.360794
118.432617	-57.329731
129.199219	-54.664886
139.965820	-55.458805
150.732422	-58.285889
161.499023	-61.830379
172.265625	-63.490650
183.032227	-63.925484
193.798828	-64.481438
204.565430	-64.537369
215.332031	-63.700108
226.098633	-62.341343
236.865234	-59.385406
247.631836	-55.497982
258.398438	-52.593761
269.165039	-54.173252
279.931641	-58.657867
290.698242	-61.579079
301.464844	-63.579964
312.231445	-64.683578
322.998047	-64.962067
333.764648	-64.799110
344.531250	-63.595478
355.297852	-61.365936
366.064453	-57.673672
376.831055	-53.119053
387.597656	-51.035542
398.364258	-53.423805
409.130859	-58.040272
419.897461	-61.669613
430.664062	-63.504589
441.430664	-64.624519
452.197266	-64.930542
462.963867	-64.541580
473.730469	-63.139183
484.497070	-60.860535
495.263672	-56.831566
506.030273	-50.976875
516.796875	-48.979439
527.563477	-52.894741
538.330078	-58.390163
549.096680	-61.669598
559.863281	-63.652782
570.629883	-64.268852
581.396484	-64.568329
592.163086	-63.927879
602.929688	-62.801765
613.696289	-60.384743
624.462891	-55.123405
635.229492	-48.495029
645.996094	-47.999790
656.762695	-53.877758
667.529297	-59.469120
678.295898	-61.979240
689.062500	-63.561527
699.829102	-64.283058
710.595703	-64.057617
721.362305	-63.245640
732.128906	-61.839947
742.895508	-59.213234
753.662109	-52.802490
764.428711	-47.400631
775.195312	-48.678116
785.961914	-55.167999
796.728516	-59.693283
807.495117	-61.778503
818.261719	-63.015053
829.028320	-63.821217
839.794922	-63.495010
850.561523	-62.394409
861.328125	-60.593136
872.094727	-57.377583
882.861328	-50.625782
893.627930	-46.366722
904.394531	-49.140446
915.161133	-55.863083
925.927734	-60.159508
936.694336	-62.189484
947.460938	-63.194405
958.227539	-63.407295
968.994141	-62.871380
979.760742	-61.839550
990.527344	-59.798676
1001.293945	-56.018063
1012.060547	-48.372509
1022.827148	-45.028061
1033.593750	-49.225712
1044.360352	-56.280872
1055.126953	-59.517155
1065.893555	-61.354874
1076.660156	-62.051777
1087.426758	-62.324913
1098.193359	-61.760227
1108.959961	-60.696510
1119.726562	-58.370647
1130.493164	-53.655575
1141.259766	-46.184277
1152.026367	-44.393696
1162.792969	-49.539124
1173.559570	-55.796852
1184.326172	-59.175655
1195.092773	-60.590439
1205.859375	-61.175392
1216.625977	-61.328751
1227.392578	-61.126949
